<Name>	<Channel>	<Duration>	<URL>
あいみょん - マリーゴールド【OFFICIAL MUSIC VIDEO】	あいみょん許高銘George	 5:22	https://www.youtube.com/watch?v=0xSiBpUdW4E&pp=gAQBiAQB8AUB	3
【神曲】and I'm home（歌詞付き） まどマギAボーナス中楽曲	BUTA野郎許高銘George	 2:46	https://www.youtube.com/watch?v=5kz1c1bvKMQ&pp=gAQBiAQB8AUB	2
[FULL] Eli Ayase & Nozomi T ojo - Garasu no Hanazono / 硝子の花園 (Color Coded Kan/Rom/Eng)	Untitled許高銘George	 4:31	https://www.youtube.com/watch?v=1-RYMpeF-Ac&pp=gAQBiAQB8AUB	1
鏈鋸人 [ED 完整版]『CHAINSAW BLOOD』Vaundy【中日歌詞】	親親2o音樂LîvË【Anime Music】許高銘George	 3:56	https://www.youtube.com/watch?v=en3e6AgWroc&pp=gAQBiAQB8AUB	3
amazarashi『境界線』Music Video	amazarashi Official YouTube Channel許高銘George	 5:26	https://www.youtube.com/watch?v=gB3gUq5A1W0&pp=gAQBiAQB8AUB	3
バスタイムプラネタリウム / HACHI 【Official MV / 4K】	HACHI許高銘George	 4:19	https://www.youtube.com/watch?v=dE-9WZaW3Gs&pp=gAQBiAQB8AUB	2
Aimer「残響散歌」MUSIC VIDEO（テレビアニメ「鬼滅の刃」遊郭編オープニングテーマ）	Aimer Official YouTube Channel許高銘George	 3:02	https://www.youtube.com/watch?v=tLQLa6lM3Us&pp=gAQBiAQB8AUB	2
Aimer - カタオモイ / THE FIRST TAKE	THE FIRST TAKE許高銘George	 4:17	https://www.youtube.com/watch?v=Opp9nqiN5m0&pp=gAQBiAQB8AUB	3
島谷ひとみ / 「Destiny -太陽の花-」【OFFICIAL MV FULL SIZE】	avex許高銘George	 4:47	https://www.youtube.com/watch?v=6cgQ76eEYAU&pp=gAQBiAQB8AUB	1
鈴木愛理『ハートはお手上げ』(Music Video) TVアニメ「かぐや様は告らせたい-ウルトラロマンティック-」ED主題歌	鈴木愛理許高銘George	 3:57	https://www.youtube.com/watch?v=GSuselwRqcE&pp=gAQBiAQB8AUB	1
