<Name>	<Channel>	<Duration>	<URL>
《Garena傳說對決》Best AOV Music - 《Arena of Valor-main》	Garena 傳說對決George	 4:29	https://www.youtube.com/watch?v=gST5ah1L474&pp=gAQBiAQB8AUB	1
《Garena 傳說對決》716新背景音樂主題曲1（自錄高音效版）	仰ぎのぞみます慶太George	 2:52	https://www.youtube.com/watch?v=oTj_4I6_doE&pp=gAQBiAQB8AUB	1
Garena RoV - Draft Mode Soundtrack [Full Soundtrack] #2019	ANW SoundtrackGeorge	 3:33	https://www.youtube.com/watch?v=n5eJFHRFUPY&pp=gAQBiAQB8AUB	1
《Garena傳說對決》Best AOV Music -《Blood Moon》	Garena 傳說對決George	 2:38	https://www.youtube.com/watch?v=dvLqrjZiM1E&pp=gAQBiAQB8AUB	1
《Garena傳說對決》Best AOV Music -《MountainOcean》	Garena 傳說對決George	 4:09	https://www.youtube.com/watch?v=GNQ3i-Nu5gw&pp=gAQBiAQB8AUB	1
《Garena傳說對決》Best AOV Music - 《New Year 2019-main》	Garena 傳說對決George	 3:00	https://www.youtube.com/watch?v=Tg39MCeIXuE&pp=gAQBiAQB8AUB	1
《Garena傳說對決》Best AOV Music - 《New Year 2018-main》	Garena 傳說對決George	 3:17	https://www.youtube.com/watch?v=VSbtIGw3gO0&pp=gAQBiAQB8AUB	1
Arena Of Valor : Lunar New Year 2022 Soundtrack #2022	ANW SoundtrackGeorge	 3:19	https://www.youtube.com/watch?v=CkNRaPNZcEQ&pp=gAQBiAQB8AUB	1
《傳說對決 Arena of Valor》Best AOV Music -《ULTRAMAN》Cooperation	AOV News TaiwanGeorge	 2:15	https://www.youtube.com/watch?v=-mMD2NrCcds&pp=gAQBiAQB8AUB	1
《傳說對決 Arena of Valor》Best AOV Music -《Break the Boundary》	AOV News TaiwanGeorge	 3:01	https://www.youtube.com/watch?v=-2e01Rn8bS0&pp=gAQBiAQB8AUB	1
《傳說對決 Arena of Valor》Best AOV Music -《Asia Dream（Light Version）》	AOV News TaiwanGeorge	 3:09	https://www.youtube.com/watch?v=O7qoT4_ud8w&pp=gAQBiAQB8AUB	1
《傳說對決 Arena of Valor》Best AOV Music -《Sword Art Online》Cooperation	AOV News TaiwanGeorge	 3:20	https://www.youtube.com/watch?v=DWrAi9w54xo&pp=gAQBiAQB8AUB	1
《Garena傳說對決》Best AOV Music 《Pool Party》	Garena 傳說對決George	 2:25	https://www.youtube.com/watch?v=4itE97OYaBk	1
✌🏻Luxury Lifestyle | JF | Music Video [4K] 💥	Jack FredericGeorge	 2:59	https://www.youtube.com/watch?v=7IL-xdaN19U	1
Arena Of Valor : Dragon Kingdom - 【Patch 1.44 Soundtrack】#2022	ANW SoundtrackGeorge	 2:43	https://www.youtube.com/watch?v=Ej83Dik41n0	1
LET VICTORY MAKE HISTORY - Rhymastic ft GDucky | Theme Song AIC 2020	Rhymastic OfficialGeorge	 3:58	https://www.youtube.com/watch?v=RA5qBa5Ivqo	1
《傳說對決 Arena of Valor》Best AOV Music -《Let Victory Make History》	AOV News TaiwanGeorge	 3:44	https://www.youtube.com/watch?v=GPP0yCuV8SI	1
