<Name>	<Channel>	<Duration>	<URL>
傷心的人別聽慢歌	Mayday - TopicGeorge	3:34	https://www.youtube.com/watch?v=abz1pNrClkM&pp=gAQBiAQB8AUB	1
Vicetone - Tomorrow Never Comes (Official Video)	VicetoneGeorge	2:58	https://www.youtube.com/watch?v=_cmxULxbbHI&pp=gAQBiAQB8AUB	2
If Only	JJ Lin林俊傑George	4:59	https://www.youtube.com/watch?v=COu9-L9jmCY&pp=gAQBiAQB8AUB	1
Ariana Grande - positions (official video)	Ariana GrandeGeorge	2:58	https://www.youtube.com/watch?v=tcYodQoapMg&pp=gAQBiAQB8AUB	2
江南	Sumes MusicGeorge	3:56	https://www.youtube.com/watch?v=QUNcX9Z3Mqo&pp=gAQBiAQB8AUB	3
Girls Like You (Cardi B Version)	Maroon 5George	3:56	https://www.youtube.com/watch?v=XDbW5bXrm7I&pp=gAQBiAQB8AUB	1
Salt	Ava MaxGeorge	3:01	https://www.youtube.com/watch?v=Z5NNPqJZy6g&pp=gAQBiAQB8AUB	1
如果我們不曾相遇	Mayday - TopicGeorge	3:23	https://www.youtube.com/watch?v=zSWnNE0tkiw&pp=gAQBiAQB8AUB	3
Xomu & Retrograde - Airborne |Complexity Release|	XomuGeorge	4:04	https://www.youtube.com/watch?v=x9Sm9jjzIz0&pp=gAQBiAQB8AUB	3
라비앙로즈 (La Vie en Rose)	official IZ*ONEGeorge	3:39	https://www.youtube.com/watch?v=S3Q966mgeSc&pp=gAQBiAQB8AUB	1
RADWIMPS - すずめ feat.十明 [Official Lyric Video]	RADWIMPSGeorge	3:57	https://www.youtube.com/watch?v=Xs0Lxif1u9E&pp=gAQBiAQB8AUB	3
Maps	Maroon 5George	3:10	https://www.youtube.com/watch?v=u6fQ9q9j-Qk&pp=gAQBiAQB8AUB	2
彩虹	周杰倫 Jay ChouGeorge	4:24	https://www.youtube.com/watch?v=yJm6h7ayL7s&pp=gAQBiAQB8AUB	1
PURPLE KISS (퍼플키스) - Sweet Juice [Audio]	WeLike MusicGeorge	3:13	https://www.youtube.com/watch?v=iDlTQYWVSj0&pp=gAQBiAQB8AUB	1
Sick enough to die (Feat. JAMIE) (죽을 만큼 아파서 (Feat. JAMIE (제이미)))	MC몽George	4:31	https://www.youtube.com/watch?v=Mp-xWPo95MU&pp=gAQBiAQB8AUB	3
