<Name>	<Channel>	<Duration>	<URL>
DAOKO × 米津玄師『打上花火』MUSIC VIDEO	Daoko	 4:53	https://www.youtube.com/watch?v=-tKVN2mAKRI&pp=gAQBiAQB8AUB
Steins;Gate Opening Theme - Hacking to the Gate (Full Version)	Weird_Wired	 4:17	https://www.youtube.com/watch?v=ZGM90Bo3zH0&pp=gAQBiAQB8AUB
八木海莉 『Ripe Aster』	八木海莉	 3:40	https://www.youtube.com/watch?v=GHalblJtLDA&pp=gAQBiAQB8AUB
八木海莉 『お茶でも飲んで』	八木海莉	 3:40	https://www.youtube.com/watch?v=jiQQsIySD9c&pp=gAQBiAQB8AUB
【神曲】and I'm home（歌詞付き） まどマギAボーナス中楽曲	BUTA野郎	 2:46	https://www.youtube.com/watch?v=5kz1c1bvKMQ&pp=gAQBiAQB8AUB
Kitri -キトリ-「ヒカレイノチ」“Hikare inochi” Music Video [official] with subtitles (字幕)	Kitri Official	 5:27	https://www.youtube.com/watch?v=LgtvsFVU1fI&pp=gAQBiAQB8AUB
Aimer - カタオモイ / THE FIRST TAKE	THE FIRST TAKE	 4:17	https://www.youtube.com/watch?v=Opp9nqiN5m0&pp=gAQBiAQB8AUB
美波 Kawakiwo ameku「カワキヲアメク」（中文字母）	美波	 4:14	https://www.youtube.com/watch?v=0YF8vecQWYs&pp=gAQBiAQB8AUB
Aimer「残響散歌」MUSIC VIDEO（テレビアニメ「鬼滅の刃」遊郭編オープニングテーマ）	Aimer Official YouTube Channel	 3:02	https://www.youtube.com/watch?v=tLQLa6lM3Us&pp=gAQBiAQB8AUB
King Gnu - 逆夢	King Gnu official YouTube channel	 5:20	https://www.youtube.com/watch?v=M6gcoDN9jBc&pp=gAQBiAQB8AUB
Last Dance - Eve MV	Eve	 4:00	https://www.youtube.com/watch?v=CLdeykXCZX4&pp=gAQBiAQB8AUB
ヒグチアイ / 悪魔の子 (アニメスペシャルVer.) | Ai Higuchi “Akuma no Ko” Anime Special Ver.	ヒグチアイ	 3:50	https://www.youtube.com/watch?v=WPl10ZrhCtk&pp=gAQBiAQB8AUB
King Gnu - 一途	King Gnu official YouTube channel	 3:11	https://www.youtube.com/watch?v=hm1na9R2uYA&pp=gAQBiAQB8AUB
DISH// (北村匠海) - 猫 / THE FIRST TAKE	THE FIRST TAKE	 5:34	https://www.youtube.com/watch?v=gsT6eKsnT0M&pp=gAQBiAQB8AUB
milet×Aimer×幾田りら - おもかげ (produced by Vaundy) / THE FIRST TAKE	THE FIRST TAKE	 4:05	https://www.youtube.com/watch?v=Z2Z9V-4DMGw&pp=gAQBiAQB8AUB
鈴木愛理『ハートはお手上げ』(Music Video) TVアニメ「かぐや様は告らせたい-ウルトラロマンティック-」ED主題歌	鈴木愛理	 3:57	https://www.youtube.com/watch?v=GSuselwRqcE&pp=gAQBiAQB8AUB
美波「等待雨､」MV	美波	 5:14	https://www.youtube.com/watch?v=766qmHTc2ro&pp=gAQBiAQB8AUB
「 星野源 - 喜劇」SPY x FAMILY 間諜家家酒ED 片尾曲【中日歌詞】	oOREMEMBEROo	 4:24	https://www.youtube.com/watch?v=CMMU3G0N_lc&pp=gAQBiAQB8AUB
【MAD】ファティマ /Steins;Gate 0 【シュタインズ・ゲート ゼロ】	U_ユウ	 4:03	https://www.youtube.com/watch?v=IgMLr_cM_WE&pp=gAQBiAQB8AUB
Steins Gate 0 OST [Ep8 ED] - 'LYRA' by Zwei	Anime Spectrum	 5:36	https://www.youtube.com/watch?v=IhJQf5BItcE&pp=gAQBiAQB8AUB
《名探偵コナン：迷宮的十字路》主題曲(中日字幕)：倉木麻衣 Time after time ～花舞う街で～	許庭瀚	 4:03	https://www.youtube.com/watch?v=arOmXIT3HBA&pp=gAQBiAQB8AUB
amazarashi『境界線』Music Video	amazarashi Official YouTube Channel	 5:26	https://www.youtube.com/watch?v=gB3gUq5A1W0&pp=gAQBiAQB8AUB
dual existence	fripSide Official YouTube Channel	 4:27	https://www.youtube.com/watch?v=cAnqEND85Nk&pp=gAQBiAQB8AUB
TVアニメ『かぐや様は告らせたい-ウルトラロマンティック-』第5話エンディング映像♪「My Nonfiction」	アニプレックス チャンネル	 1:50	https://www.youtube.com/watch?v=yWp6SXivHBQ&pp=gAQBiAQB8AUB
派對咖孔明 OP 「チキチキバンバン」完整版 By QUEENDOM	二乃是天千棘是宇宙！！！	 3:57	https://www.youtube.com/watch?v=V6Lwltc-Kxo&pp=gAQBiAQB8AUB
島谷ひとみ / 「Destiny -太陽の花-」【OFFICIAL MV FULL SIZE】	avex	 4:47	https://www.youtube.com/watch?v=6cgQ76eEYAU&pp=gAQBiAQB8AUB
[高音質]「宇多田ヒカル -One Last Kiss」新世紀福音戰士新劇場版 𝄇 3.0+1.0主題曲【中日歌詞】	oOREMEMBEROo	 4:51	https://www.youtube.com/watch?v=xatKOAWhG-g&pp=gAQBiAQB8AUB
賽馬娘超神洗腦曲！《本田晃弘 - うまぴょい伝説》歌詞翻譯【中日字幕】	【Little Music Dream】小小音樂夢	 4:23	https://www.youtube.com/watch?v=u7BDAoF-Duo&pp=gAQBiAQB8AUB
あいみょん - マリーゴールド【OFFICIAL MUSIC VIDEO】	あいみょん	 5:22	https://www.youtube.com/watch?v=0xSiBpUdW4E&pp=gAQBiAQB8AUB
Cody・Lee(李) - 世田谷代田(MusicVideo)	Cody・Lee(李) official	 4:50	https://www.youtube.com/watch?v=Erb8YqW100o&pp=gAQBiAQB8AUB
バスタイムプラネタリウム / HACHI 【Official MV / 4K】	HACHI	 4:19	https://www.youtube.com/watch?v=dE-9WZaW3Gs&pp=gAQBiAQB8AUB
[FULL] Eli Ayase & Nozomi T ojo - Garasu no Hanazono / 硝子の花園 (Color Coded Kan/Rom/Eng)	Untitled	 4:31	https://www.youtube.com/watch?v=1-RYMpeF-Ac&pp=gAQBiAQB8AUB
Endless Tears feat. 中村舞子 - Love is a beautiful pain『喜歡你真的好痛苦。』【中日動態歌詞Lyrics】	EHPMusicChannel	 4:25	https://www.youtube.com/watch?v=_5_IpEvuIw4&pp=gAQBiAQB8AUB
夏日時光 OP2 「夏夢ノイジー」完整版 By 亜咲花 Summertime Render Opening 2 FULL	二乃是天千棘是宇宙！！！	 4:48	https://www.youtube.com/watch?v=bBUMXETMQMw&pp=gAQBiAQB8AUB
「甲賀忍法帖」（MV）	陰陽座 Official	 4:02	https://www.youtube.com/watch?v=v86m2RdPSo8&pp=gAQBiAQB8AUB
Snow halation	μ's - Topic	 4:20	https://www.youtube.com/watch?v=OzGVz1ClxIc&pp=gAQBiAQB8AUB
supercell - My Dearest	spcl ryo	 5:45	https://www.youtube.com/watch?v=nIrYjzHAEp0&pp=gAQBiAQB8AUB
stars we chase	Mia Taylor (CV: Shu Uchida) - Topic	 3:14	https://www.youtube.com/watch?v=COwb7jyRxQM&pp=gAQBiAQB8AUB
【日本CM】本年度No.1推薦！神級廣告帶來爆笑無敵聯誼連續技 (中字)	劍心放送 KenshinTV	 4:23	https://www.youtube.com/watch?v=rHjRNSnkeCk
踊り子 / Vaundy：MUSIC VIDEO	Vaundy	 4:06	https://www.youtube.com/watch?v=7HgJIAUtICU&pp=gAQBiAQB8AUB
TVアニメ『明日ちゃんのセーラー服』OPテーマ「はじまりのセツナ」リリックビデオ | Blu-ray&DVD 4.27 ON SALE	アニプレックス チャンネル	 4:08	https://www.youtube.com/watch?v=NNDS_UyHzvk&pp=gAQBiAQB8AUB
Satoshi（CV:Rica Matsumoto） - Mezase Pokémon Master -with my friends- / THE FIRST TAKE	THE FIRST TAKE	 4:54	https://www.youtube.com/watch?v=hMKf5mE3sdo&pp=gAQBiAQB8AUB
